0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.29,-9.18,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.29,-9.18,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.56,-9.22,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.56,-9.22,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.71,-9.22,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.71,-9.22,1.45,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.52,-9.30,1.18,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.44,-9.30,1.14,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.44,-9.30,1.14,0.05,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.48,-9.45,1.22,0.05,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.48,-9.45,1.22,0.10,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.59,-9.38,1.26,0.10,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.21,-9.26,1.22,0.10,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.52,-9.14,1.38,0.10,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.59,-9.38,1.22,0.10,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.59,-9.38,1.22,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.59,-9.38,1.22,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.44,-9.26,1.11,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.63,-10.02,1.72,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
-2.63,-10.02,1.72,-0.06,-0.01,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,
