0.00,0.00,0.00,0.00,0.00,0.00,444,1
0.00,0.00,0.00,0.00,0.00,0.00,448,2
0.00,0.00,0.00,0.00,0.00,0.00,463,1
0.00,0.00,0.00,0.00,0.00,0.00,465,2
0.34,1.71,8.47,0.00,0.00,0.00,468,1
2.19,3.36,-9.94,0.00,0.00,0.00,472,2
0.96,2.63,8.01,0.00,0.00,0.00,477,1
1.77,2.44,-10.97,0.00,0.00,0.00,480,2
1.61,0.87,7.09,0.00,0.00,0.00,484,1
1.39,5.24,-9.71,0.00,0.00,0.00,489,2
0.27,0.33,9.24,0.00,0.00,0.00,492,1
1.54,6.66,-10.74,0.00,0.00,0.00,497,2
0.15,0.10,13.14,0.00,0.00,0.00,501,1
3.30,1.87,-12.43,0.00,0.00,0.00,506,2
2.14,-1.85,12.53,0.00,0.00,0.00,509,1
1.39,3.82,-11.93,0.00,0.00,0.00,515,2
2.14,-1.85,12.53,0.00,0.00,0.00,518,1
1.85,5.51,-10.59,0.00,0.00,0.00,523,2
2.14,-1.85,12.53,0.52,-0.01,-0.14,528,1
1.96,3.97,-9.13,0.00,0.00,0.00,532,2
2.14,-1.85,12.53,1.27,0.09,-0.19,536,1
1.73,2.63,-7.91,0.00,0.00,0.00,540,2
2.14,-1.85,12.53,0.88,0.07,-0.20,545,1
1.73,2.63,-7.91,0.00,0.00,0.00,548,2
2.14,-1.85,12.53,0.10,0.02,-0.14,551,1
1.73,2.63,-7.91,-1.44,-0.07,-0.10,558,2
0.84,1.06,9.70,0.10,0.02,-0.14,562,1
2.77,4.17,-12.31,-1.44,-0.07,-0.10,566,2
1.80,-0.20,9.47,0.10,0.02,-0.14,570,1
3.46,5.74,-12.89,-1.44,-0.07,-0.10,574,2
1.53,1.02,11.42,0.10,0.02,-0.14,578,1
3.88,4.97,-12.27,-1.44,-0.07,-0.10,583,2
1.57,-0.97,10.81,0.10,0.02,-0.14,587,1
2.27,4.05,-10.78,-1.44,-0.07,-0.10,590,2
1.57,-0.97,10.81,0.54,0.07,-0.13,595,1
2.27,4.05,-10.78,-4.17,-0.41,-0.16,599,2
2.22,1.06,7.55,0.54,0.07,-0.13,604,1
2.27,4.05,-10.78,-2.79,-0.43,-0.12,608,2
1.46,1.63,5.37,0.54,0.07,-0.13,612,1
0.39,7.57,-8.44,-2.79,-0.43,-0.12,616,2
-0.50,0.52,5.37,0.54,0.07,-0.13,621,1
1.73,2.94,-3.20,-2.79,-0.43,-0.12,625,2
-0.73,2.05,7.63,0.54,0.07,-0.13,628,1
-0.07,1.25,-5.38,-2.79,-0.43,-0.12,633,2
1.42,0.64,9.54,0.54,0.07,-0.13,636,1
-0.14,3.25,-5.72,-2.79,-0.43,-0.12,642,2
1.42,0.64,9.54,-0.10,0.09,-0.06,645,1
-0.14,3.25,-5.72,0.37,-0.25,0.00,650,2
1.42,0.64,9.54,0.07,0.12,-0.05,653,1
-0.14,3.25,-5.72,0.01,-0.19,0.02,657,2
1.19,1.56,8.74,0.07,0.12,-0.05,661,1
1.39,4.63,-9.29,0.01,-0.19,0.02,665,2
1.72,-0.66,9.20,0.07,0.12,-0.05,668,1
1.23,3.29,-6.11,0.01,-0.19,0.02,672,2
0.96,1.60,7.36,0.07,0.12,-0.05,676,1
1.31,2.94,-5.38,0.01,-0.19,0.02,680,2
0.96,1.60,7.36,-0.05,0.05,0.00,685,1
1.31,2.94,-5.38,0.01,-0.01,0.10,689,2
0.96,1.60,7.36,0.07,0.00,0.01,693,1
0.85,6.20,-9.52,0.01,-0.01,0.10,697,2
1.91,0.75,9.54,0.07,0.00,0.01,701,1
1.81,6.27,-9.97,0.01,-0.01,0.10,705,2
1.53,0.64,9.32,0.07,0.00,0.01,709,1
2.54,4.66,-8.06,0.01,-0.01,0.10,712,2
1.19,0.75,10.27,0.07,0.00,0.01,716,1
1.58,4.20,-7.64,0.01,-0.01,0.10,720,2
1.19,0.75,10.27,-0.38,-0.14,0.05,724,1
1.58,4.20,-7.64,2.36,0.14,0.18,729,2
2.22,1.21,9.96,-0.38,-0.14,0.05,733,1
0.70,5.74,-7.98,2.36,0.14,0.18,738,2
2.49,-3.80,21.38,-0.38,-0.14,0.05,742,1
1.23,5.39,-9.74,2.36,0.14,0.18,746,2
1.69,0.83,18.70,-0.38,-0.14,0.05,751,1
2.08,1.87,-8.10,2.36,0.14,0.18,755,2
3.41,1.60,7.71,-0.38,-0.14,0.05,759,1
1.08,2.44,-6.49,2.36,0.14,0.18,763,2
0.54,-3.23,8.93,-0.38,-0.14,0.05,768,1
