0.00,0.00,0.00,0.00,0.00,0.00,448,1
0.00,0.00,0.00,0.00,0.00,0.00,452,2
0.00,0.00,0.00,0.00,0.00,0.00,467,1
0.00,0.00,0.00,0.00,0.00,0.00,471,2
0.69,9.11,2.46,0.00,0.00,0.00,473,1
1.62,9.80,1.17,0.00,0.00,0.00,477,2
0.73,9.56,2.88,0.00,0.00,0.00,480,1
1.35,10.33,0.95,0.00,0.00,0.00,483,2
0.96,9.95,2.07,0.00,0.00,0.00,488,1
1.46,10.11,0.95,0.00,0.00,0.00,493,2
0.96,9.87,2.38,0.00,0.00,0.00,497,1
1.85,9.49,0.79,0.00,0.00,0.00,501,2
0.84,9.72,2.27,0.00,0.00,0.00,505,1
1.70,10.07,0.87,0.00,0.00,0.00,510,2
0.96,9.41,2.57,0.00,0.00,0.00,514,1
1.50,10.14,0.87,0.00,0.00,0.00,519,2
0.96,9.41,2.57,0.00,0.00,0.00,522,1
1.66,9.95,0.91,0.00,0.00,0.00,527,2
0.96,9.41,2.57,-0.02,-0.05,-0.03,533,1
1.58,9.91,1.17,0.00,0.00,0.00,536,2
0.96,9.41,2.57,0.02,-0.07,-0.02,540,1
1.54,10.07,0.83,0.00,0.00,0.00,544,2
0.96,9.41,2.57,0.03,-0.06,-0.02,548,1
1.54,10.07,0.83,0.00,0.00,0.00,551,2
0.96,9.41,2.57,0.00,-0.07,-0.01,556,1
1.54,10.07,0.83,0.02,-0.04,0.02,561,2
0.73,9.26,2.19,0.00,-0.07,-0.01,565,1
1.70,9.84,0.68,0.02,-0.04,0.02,569,2
0.73,9.11,2.30,0.00,-0.07,-0.01,573,1
1.62,9.61,0.68,0.02,-0.04,0.02,577,2
0.73,9.11,2.30,0.00,-0.06,-0.01,581,1
1.66,9.95,0.91,0.02,-0.04,0.02,585,2
0.73,9.11,2.30,0.01,-0.05,-0.02,589,1
1.66,9.95,0.91,-0.12,-0.06,0.02,593,2
0.73,9.11,2.30,0.01,-0.05,-0.03,596,1
1.70,10.22,0.87,-0.12,-0.06,0.02,601,2
0.84,9.53,2.42,0.01,-0.05,-0.03,605,1
1.85,10.07,0.83,-0.12,-0.06,0.02,609,2
0.84,9.64,2.38,0.01,-0.05,-0.03,613,1
1.73,10.49,0.71,-0.12,-0.06,0.02,617,2
0.88,9.79,2.34,0.01,-0.05,-0.03,620,1
1.81,10.37,0.91,-0.12,-0.06,0.02,624,2
0.88,9.79,2.34,0.02,-0.04,-0.04,628,1
1.81,10.37,0.91,-0.31,-0.06,0.02,632,2
0.92,10.10,2.38,0.02,-0.04,-0.04,637,1
1.66,10.14,0.75,-0.31,-0.06,0.02,642,2
0.92,9.95,2.42,0.02,-0.04,-0.04,646,1
1.66,10.11,0.87,-0.31,-0.06,0.02,650,2
0.92,9.79,2.38,0.02,-0.04,-0.04,654,1
1.58,9.88,0.87,-0.31,-0.06,0.02,658,2
0.84,9.98,2.42,0.02,-0.04,-0.04,662,1
1.54,10.03,0.95,-0.31,-0.06,0.02,666,2
0.88,9.91,2.50,0.02,-0.04,-0.04,670,1
1.66,10.14,0.95,-0.31,-0.06,0.02,674,2
0.88,9.91,2.50,0.00,-0.04,-0.07,678,1
1.66,10.14,0.95,-0.80,-0.06,-0.00,683,2
0.77,9.83,2.38,0.00,-0.04,-0.07,687,1
1.66,10.14,0.95,-0.96,-0.06,-0.00,691,2
0.84,9.87,2.23,0.00,-0.04,-0.07,695,1
1.66,9.84,1.25,-0.96,-0.06,-0.00,699,2
0.77,9.87,2.19,0.00,-0.04,-0.07,703,1
1.66,9.72,1.10,-0.96,-0.06,-0.00,706,2
0.69,9.75,2.07,0.00,-0.04,-0.07,709,1
1.66,9.72,1.10,-1.18,-0.05,-0.02,713,2
