0.00,0.00,0.00,0.00,0.00,0.00,444,1
0.00,0.00,0.00,0.00,0.00,0.00,448,2
0.00,0.00,0.00,0.00,0.00,0.00,463,1
0.00,0.00,0.00,0.00,0.00,0.00,465,2
0.92,10.02,0.39,0.00,0.00,0.00,468,1
1.81,10.07,1.82,0.00,0.00,0.00,472,2
0.96,9.98,0.39,0.00,0.00,0.00,476,1
1.81,9.99,1.86,0.00,0.00,0.00,479,2
0.92,9.98,0.35,0.00,0.00,0.00,484,1
1.81,10.03,1.98,0.00,0.00,0.00,488,2
0.88,9.91,0.35,0.00,0.00,0.00,492,1
1.85,9.95,1.90,0.00,0.00,0.00,497,2
0.96,9.98,0.23,0.00,0.00,0.00,501,1
1.77,9.84,1.82,0.00,0.00,0.00,506,2
0.92,9.95,0.35,0.00,0.00,0.00,509,1
1.66,9.61,1.71,0.00,0.00,0.00,515,2
0.92,9.95,0.35,0.00,0.00,0.00,518,1
1.62,9.57,1.55,0.00,0.00,0.00,521,2
0.92,9.95,0.35,0.00,-0.03,-0.01,527,1
1.54,9.49,1.63,0.00,0.00,0.00,531,2
0.92,9.95,0.35,0.03,-0.06,-0.02,535,1
1.58,9.45,1.59,0.00,0.00,0.00,539,2
0.92,9.95,0.35,0.04,-0.06,-0.02,542,1
1.58,9.45,1.59,0.00,0.00,0.00,546,2
0.88,9.98,0.39,0.04,-0.06,-0.02,550,1
1.58,9.45,1.59,0.02,-0.02,0.00,557,2
0.88,9.98,0.35,0.04,-0.06,-0.02,561,1
1.58,9.45,1.59,0.05,-0.03,-0.01,565,2
0.88,9.95,0.35,0.04,-0.06,-0.02,569,1
1.77,9.80,1.71,0.05,-0.03,-0.01,573,2
0.88,9.95,0.35,0.06,-0.06,-0.02,577,1
1.85,9.91,1.63,0.05,-0.03,-0.01,581,2
0.88,9.95,0.35,0.06,-0.06,-0.02,584,1
1.89,9.91,1.63,0.05,-0.03,-0.01,588,2
0.88,9.95,0.35,0.05,-0.05,-0.03,592,1
1.89,9.84,1.67,0.05,-0.03,-0.01,596,2
0.80,9.64,0.23,0.05,-0.05,-0.03,601,1
1.89,9.84,1.67,0.04,-0.02,0.01,604,2
0.77,9.60,0.35,0.05,-0.05,-0.03,607,1
1.77,9.80,1.67,0.04,-0.02,0.01,611,2
0.77,9.60,0.35,0.04,-0.05,-0.03,615,1
1.73,9.76,1.63,0.04,-0.02,0.01,618,2
0.77,9.60,0.31,0.04,-0.05,-0.03,622,1
1.73,9.76,1.63,0.02,-0.02,0.01,626,2
0.73,9.68,0.31,0.04,-0.05,-0.03,630,1
1.73,9.76,1.63,0.02,-0.02,0.02,635,2
0.77,9.68,0.31,0.04,-0.05,-0.03,638,1
1.70,9.72,1.63,0.02,-0.02,0.02,643,2
0.73,9.64,0.43,0.04,-0.05,-0.03,647,1
1.73,9.76,1.67,0.02,-0.02,0.02,651,2
0.73,9.64,0.43,0.02,-0.05,-0.03,654,1
1.73,9.80,1.59,0.02,-0.02,0.02,658,2
0.73,9.68,0.31,0.02,-0.05,-0.03,662,1
1.73,9.80,1.59,0.04,-0.02,0.02,666,2
0.77,9.75,0.31,0.02,-0.05,-0.03,670,1
1.81,9.84,1.63,0.04,-0.02,0.02,675,2
0.77,9.75,0.31,0.02,-0.05,-0.03,679,1
1.81,9.84,1.63,0.03,-0.01,0.02,684,2
0.77,9.79,0.31,0.02,-0.05,-0.03,687,1
1.81,9.84,1.59,0.03,-0.01,0.02,691,2
0.77,9.79,0.31,0.04,-0.04,-0.03,696,1
1.81,9.84,1.67,0.03,-0.01,0.02,700,2
0.77,9.79,0.31,0.03,-0.04,-0.03,704,1
1.85,9.99,1.59,0.03,-0.01,0.02,708,2
0.77,9.79,0.31,0.03,-0.04,-0.02,711,1
1.85,9.99,1.59,0.01,-0.01,0.01,716,2
0.69,9.56,0.27,0.03,-0.04,-0.02,719,1
1.85,9.99,1.59,0.02,-0.02,0.02,724,2
0.65,9.53,0.35,0.03,-0.04,-0.02,728,1
1.81,10.11,1.63,0.02,-0.02,0.02,732,2
0.65,9.53,0.35,0.02,-0.04,-0.02,736,1
1.81,10.07,1.63,0.02,-0.02,0.02,740,2
0.65,9.53,0.35,0.02,-0.04,-0.02,744,1
1.77,10.07,1.59,0.02,-0.02,0.02,747,2
0.69,9.45,0.35,0.02,-0.04,-0.02,752,1
1.77,10.07,1.59,0.02,-0.01,0.00,755,2
0.65,9.49,0.31,0.02,-0.04,-0.02,759,1
1.77,10.07,1.59,0.01,0.00,0.01,762,2
